source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.2612094813302588,0.6915893055989923,0.1532355702086626,0.8068628694659393,0.6602823627115125,0.7262502854532998,0.4901886965006085,14.931297346444453,4.688138457930694,20.109624500875757,49.72743275024608,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.3976002466041139,0.7041150175532096,0.4399900051909297,0.8073394495412844,0.6285714285714286,0.7068273092369477,1.844960757914712,11.024341115034094,2.2863240218630025,15.155625894811807,65.98209845904996,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.5954494855078751,0.7982790066832759,0.7291556175191152,0.8529734695148229,0.6774941995359629,0.755173846060752,0.4945523780117804,8.445532163431016,0.3598099139249213,9.29989445536772,107.52810204451508,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.6760966873056415,0.920037257824143,0.8136405517101714,0.9836065573770492,0.8450704225352113,0.9090909090909092,2.0780225843191147,14.408460725098848,1.6014505922794342,18.0879339016974,55.285474031180456,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.5037399916539025,0.7903153846153848,0.595062091503268,1.0,0.5806451612903226,0.7346938775510204,1.1336342742045722,11.640598066151142,0.1006746043761571,12.874906944731872,77.67046428317511,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.7048609876765155,0.9709909106415752,0.8457904443899364,0.9723356009070296,0.9469964664310954,0.9594987692996196,0.3222118147261898,8.27030991448289,0.1314966603345477,8.724018389543629,114.62607657940896,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.5668136280980586,0.9624890313664848,0.5786345670187509,0.965150788052804,0.9013204526025038,0.9321441725638332,0.6250547519578454,8.701628503217407,0.4977514284157827,9.824434683591036,101.78702716302035,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3834422075108942,0.9550197864738303,0.1983005843043862,0.8787407440434907,0.9436241610738256,0.9100273990911252,0.3915431241140417,8.451574827473529,0.2076024500875855,9.050720401675155,110.488442424419,,,,,,,,,,,,
TestSet::global::global,4140.0,0.3221269667953573,0.7443033400576049,0.2334499120181078,0.8265738498789347,0.7036846173666581,0.7601948503827418,0.3069813871657215,8.262170019564062,0.1387661790862175,8.707917585816002,114.8380184062447,,,,,,,,,,,,
